frame_no,status,elapsed_ms,path
0,normal,3837,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540057414289200_0000_10000010000000000.jpg
1,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540057618711700_0001_10000010000000000.jpg
2,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540057814921500_0002_10000010000000000.jpg
3,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540058016968900_0003_10000010000000000.jpg
4,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540058225298700_0004_10000010000000000.jpg
5,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540058398410400_0005_10000010000000000.jpg
6,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540058609105900_0006_10000010000000000.jpg
7,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540058800234600_0007_10000010000000000.jpg
8,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540059029175700_0008_10000010000000000.jpg
9,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540059223283700_0009_10000010000000000.jpg
10,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540059428055700_0010_10000010000000000.jpg
11,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540059624847000_0011_10000010000000000.jpg
12,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540059814505000_0012_10000010000000000.jpg
13,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540060008506100_0013_10000010000000000.jpg
14,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540060214856900_0014_10000010000000000.jpg
15,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540060409564000_0015_10000010000000000.jpg
16,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540060643014300_0016_10000010000000000.jpg
17,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540060816759600_0017_10000010000000000.jpg
18,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540061010172600_0018_10000010000000000.jpg
19,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540061220476200_0019_10000010000000000.jpg
20,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540061432064900_0020_10000010000000000.jpg
21,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540061614705100_0021_10000010000000000.jpg
22,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540061805328200_0022_10000010000000000.jpg
23,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540062011394200_0023_10000010000000000.jpg
24,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540062229871900_0024_10000010000000000.jpg
25,ANOMALOUS,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540062408105100_0025_10000010000000000.jpg
26,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540062616509200_0026_10000010000000000.jpg
27,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540062846659400_0027_10000010000000000.jpg
28,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540063025233400_0028_10000010000000000.jpg
29,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540063227463300_0029_10000010000000000.jpg
30,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540063409902400_0030_10000010000000000.jpg
31,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540063629517800_0031_10000010000000000.jpg
32,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540063831001500_0032_10000010000000000.jpg
33,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540064008411400_0033_10000010000000000.jpg
