Method,Accuracy,Precision,Recall,F1,AUC,Threshold,binormal_AUC
OFF-o1-q1.0-s1.5,0.9909618008185539,0.8021390374331551,0.9036144578313253,0.8498583569405099,0.9867803964189505,0.4649680554866791,5.121962549871454
OFF-o1-q1.0-s1.0,0.9901091405184175,0.7967032967032966,0.8734939759036144,0.8333333333333334,0.98625389589245,0.5508313775062561,5.015246958079435
OFF-o2-q1.0-s1.5,0.9911323328785812,0.8031914893617021,0.9096385542168675,0.8531073446327684,0.9877287317046354,0.3928264081478119,5.012530502587844
OFF-o1-q0.999-s0.5,0.9926671214188267,0.8397790055248618,0.9156626506024096,0.8760806916426513,0.9860921397065976,0.48270033684372937,4.854737029792511
OFF-o1-q0.999-s1.0,0.9924965893587995,0.8426966292134831,0.9036144578313253,0.872093023255814,0.9861460584352151,0.4279866481423395,4.84798362693738
OFF-o3-q0.999-s0.5,0.9936903137789904,0.864406779661017,0.9216867469879518,0.892128279883382,0.9849767620851958,0.37790657646954084,4.729111944198146
OFF-o1-q0.999-s0.0,0.9924965893587995,0.8351648351648352,0.9156626506024096,0.8735632183908046,0.9815809394122648,0.5149052098840506,4.726431570110389
OFF-o2-q1.0-s1.0,0.9894270122783083,0.75,0.9397590361445783,0.8342245989304813,0.9859377841305552,0.4462466686964035,4.725486854404555
OFF-o3-q1.0-s1.0,0.9902796725784447,0.7711442786069652,0.9337349397590361,0.8446866485013624,0.9882890635902685,0.417713925242424,4.720241117430599
OFF-o3-q0.999-s0.0,0.9933492496589359,0.8547486033519553,0.9216867469879518,0.8869565217391304,0.98395124901149,0.4053058246076122,4.689652922503491
OFF-o2-q0.999-s0.5,0.9935197817189632,0.8478260869565217,0.9397590361445783,0.8914285714285715,0.9851046869119159,0.4006222193092115,4.666927069297004
OFF-o2-q0.999-s0.0,0.9930081855388813,0.8342245989304813,0.9397590361445783,0.8838526912181303,0.9854303137435667,0.4260390608757744,4.649310523384135
OFF-o2-q0.999-s1.0,0.9930081855388813,0.8453038674033149,0.9216867469879518,0.8818443804034583,0.9850253946639488,0.3659001992493869,4.625384351582973
OFF-o1-q0.999-s1.5,0.9921555252387448,0.8333333333333334,0.9036144578313253,0.8670520231213873,0.9861576879649169,0.3763669046014554,4.575942112064113
OFF-o3-q1.0-s1.5,0.9914733969986358,0.7959183673469388,0.9397590361445783,0.861878453038674,0.9868173994680018,0.34164896607398987,4.438837880196621
OFF-o3-q1.0-s0.5,0.9885743519781719,0.7734806629834254,0.8433734939759037,0.8069164265129684,0.986046678817763,0.5441292524337769,4.376020202769406
OFF-o2-q1.0-s0.5,0.9884038199181446,0.7474747474747475,0.891566265060241,0.8131868131868132,0.9854430005032415,0.5621467232704163,4.35881047378563
OFF-o3-q0.999-s1.0,0.9930081855388813,0.8453038674033149,0.9216867469879518,0.8818443804034583,0.9845232104268249,0.315204842880369,4.3304886273219045
OFF-o2-q0.999-s1.5,0.9923260572987722,0.8235294117647058,0.927710843373494,0.8725212464589235,0.9868702609666465,0.3008819729387763,4.136308922724386
OFF-o1-q1.0-s0.5,0.984481582537517,0.6582278481012658,0.9397590361445783,0.7741935483870968,0.9832883658184863,0.5858958661556244,4.075473623213204
OFF-o2-q1.0-s0.0,0.9841405184174625,0.6763285024154589,0.8433734939759037,0.7506702412868632,0.9813441198983368,0.6295835673809052,3.9682584728064794
