Method,Accuracy,Precision,Recall,F1,AUC,Threshold,binormal_AUC
OFF-o2-q0.999-s1.5,0.9965893587994543,0.5185185185185185,0.6666666666666666,0.5833333333333334,0.9809295616244101,0.5070022806823254,10.10660436935064
OFF-o3-q0.999-s1.5,0.9959072305593452,0.45714285714285713,0.7619047619047619,0.5714285714285714,0.9849229440192987,0.44504063022136703,7.883805437260925
OFF-o1-q0.999-s1.0,0.9957366984993179,0.4473684210526316,0.8095238095238095,0.576271186440678,0.9745238502726095,0.5023079066425589,7.878959599628504
OFF-o1-q0.999-s1.5,0.9959072305593452,0.4594594594594595,0.8095238095238095,0.5862068965517241,0.9749883865920149,0.47451925982534915,7.847452848497658
OFF-o2-q0.999-s1.0,0.9953956343792633,0.425,0.8095238095238095,0.5573770491803278,0.9820949773029185,0.4307469184696675,7.4506288548491755
OFF-o1-q0.999-s0.5,0.9950545702592087,0.40476190476190477,0.8095238095238095,0.5396825396825397,0.9669201242023422,0.5256358197927481,7.443855080455612
OFF-o2-q0.999-s0.5,0.9953956343792633,0.425,0.8095238095238095,0.5573770491803278,0.97489058947214,0.4800964086800817,7.3994847442409855
OFF-o1-q0.999-s0.0,0.995225102319236,0.4146341463414634,0.8095238095238095,0.5483870967741935,0.9679958925209653,0.5552576099336148,7.367756340017559
OFF-o2-q0.999-s0.0,0.995225102319236,0.4146341463414634,0.8095238095238095,0.5483870967741935,0.9645974426053152,0.5101941943764694,7.357304558381344
OFF-o3-q1.0-s1.5,0.9950545702592087,0.4,0.7619047619047619,0.5245901639344263,0.9843850598599871,0.4519270360469818,7.068443596362355
OFF-o3-q0.999-s0.0,0.9955661664392906,0.4358974358974359,0.8095238095238095,0.5666666666666667,0.9755914688312428,0.46851483294367835,6.90816020542855
OFF-o3-q0.999-s0.5,0.995225102319236,0.4146341463414634,0.8095238095238095,0.5483870967741935,0.9778326528283743,0.4449436222910885,6.852170674094864
OFF-o1-q0.99-s1.0,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9687130714000471,0.3239310613274576,6.792748366761487
OFF-o1-q0.99-s1.5,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.970946105637189,0.3203081947565079,6.73873114083617
OFF-o1-q0.99-s0.0,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9823476198625949,0.34809225291013735,6.671533358209976
OFF-o3-q0.999-s1.0,0.9953956343792633,0.425,0.8095238095238095,0.5573770491803278,0.9868462873768367,0.39420815783739127,6.667151997881336
OFF-o1-q1.0-s1.5,0.9942019099590723,0.3617021276595745,0.8095238095238095,0.5,0.9683544819605062,0.4954480528831482,6.656623649904692
OFF-o2-q1.0-s1.5,0.9943724420190996,0.3695652173913043,0.8095238095238095,0.5074626865671642,0.977139923229261,0.4426952600479126,6.553737595898034
OFF-o1-q1.0-s1.0,0.9943724420190996,0.36363636363636365,0.7619047619047619,0.49230769230769234,0.9625600026079231,0.5489723086357117,6.513034048285253
OFF-o3-q1.0-s1.0,0.9943724420190996,0.36363636363636365,0.7619047619047619,0.49230769230769234,0.9793240589064651,0.4851665794849396,6.44561934181216
OFF-o2-q1.0-s1.0,0.9936903137789904,0.34,0.8095238095238095,0.4788732394366197,0.9715654873963963,0.48033079504966736,6.287853746319408
OFF-o2-q0.99-s1.0,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9789573197069346,0.282774912416935,6.028870200337788
OFF-o2-q0.99-s0.5,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9829833011417815,0.28992411598563195,5.909918659238666
OFF-o2-q0.99-s1.5,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9793322086664549,0.2706805863976479,5.8615975720318945
OFF-o2-q0.99-s0.0,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9872863744162734,0.287197330147028,5.602102748357311
OFF-o3-q0.99-s1.0,0.9965893587994543,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.9795441024261836,0.2576341708004476,5.164748334841584
OFF-o1-q0.99-s0.5,0.9965893587994543,0.5142857142857142,0.8571428571428571,0.6428571428571429,0.9749639373120462,0.2886328196525574,4.962913536490605
OFF-o1-q1.0-s0.5,0.9943724420190996,0.34210526315789475,0.6190476190476191,0.4406779661016949,0.9529188365402639,0.6620002686977386,4.8176135782248375
